"Gene","logFC","t","PValue","FDR"
"ENSG00000225964",-2.79985391470952,-12.6361963530524,2.03336405579952e-23,1.91522560415757e-21
"ENSG00000234515",-2.00756136419217,-12.6303086594974,2.09776454822298e-23,1.9660541571853e-21
"ENSG00000150681",-2.18829228343651,-12.6196562676811,2.21952443346085e-23,2.06987135037304e-21
"ENSG00000114439",-1.08502254892051,-12.6118877299196,2.31276679931962e-23,2.14620201800902e-21
"ENSG00000204131",-1.26426918002296,-12.6026803014907,2.42837929997458e-23,2.24244163004515e-21
"ENSG00000186812",-1.26603361719355,-12.5606020024968,3.03505046611312e-23,2.78898930149458e-21
"ENSG00000204261",-1.0973217452146,-12.5522264072541,3.17285563982591e-23,2.90146866713789e-21
"ENSG00000152558",-1.84583848018996,-12.5410397085331,3.36674789866668e-23,3.0639032326127e-21
"ENSG00000273272",-2.13322520479579,-12.5371680459338,3.43658450878861e-23,3.10997304658785e-21
"ENSG00000203747",-1.78585807498568,-12.5364120593158,3.45038946139113e-23,3.10997304658785e-21
"ENSG00000260943",-2.33777080851402,-12.533087711097,3.51175767968926e-23,3.15021386523744e-21
"ENSG00000163666",-2.31913821943225,-12.5102208742208,3.96459967720211e-23,3.5395795601485e-21
"ENSG00000068784",-1.72577020319721,-12.4956858190129,4.28242718704308e-23,3.80530015799611e-21
"ENSG00000229474",-1.33312292638819,-12.4913596612783,4.38186790594068e-23,3.87538157803335e-21
"ENSG00000112763",-1.41695733093439,-12.4864328808108,4.49793701289905e-23,3.95944567518656e-21
"ENSG00000010704",-1.83995753681797,-12.4805974060885,4.6394080718047e-23,4.04616524336375e-21
"ENSG00000163154",-2.03935579508417,-12.4352054484143,5.90356788290651e-23,5.10144090725655e-21
"ENSG00000111224",-1.81892926605502,-12.4061911956498,6.88716150296114e-23,5.92421682158822e-21
"ENSG00000119979",-1.07369778943041,-12.4007469689843,7.08926175672746e-23,6.07034149878326e-21
"ENSG00000183621",-1.64137332928134,-12.3876837958538,7.59877459055321e-23,6.47718170754938e-21
"ENSG00000124357",-1.0373404871374,-12.3603251339771,8.78797081272626e-23,7.39052652545256e-21
"ENSG00000164967",-1.44035701473294,-12.3398275455877,9.79969251129533e-23,8.20473811234584e-21
"ENSG00000163219",-1.28125112246696,-12.335401360232,1.0033051193327e-22,8.36294771592449e-21
"ENSG00000288587",-2.25403463949955,-12.3042361288846,1.18416799313227e-22,9.8270293632712e-21
"ENSG00000008130",-1.32874567574145,-12.2962838816434,1.23533457967793e-22,1.02066810578828e-20
"ENSG00000163563",-1.80147975881576,-12.2912897540782,1.26859489644093e-22,1.04357164450455e-20
"ENSG00000169245",-2.54547794929711,-12.2814276935957,1.33693478412792e-22,1.09500771580007e-20
"ENSG00000255328",-2.43322698287243,-12.2623691892158,1.47963512543035e-22,1.201438210899e-20
"ENSG00000282851",-1.862891121382,-12.2332923794731,1.72731379732339e-22,1.39652949845399e-20
"ENSG00000133104",-1.36243807670475,-12.2057105259533,2.00057035612396e-22,1.61054463113945e-20
