"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000172197",-1.0459004220629,-7.24400013902555,5.52133702404494e-11,4.7755255674453e-10,"MBOAT1","membrane bound glycerophospholipid O-acyltransferase 1"
"ENSG00000118162",-1.05612147506112,-7.24172455922612,5.58515368706486e-11,4.82407726533369e-10,"KPTN","kaptin, actin binding protein"
"ENSG00000110060",-1.03458978065947,-7.23148226365349,5.88155717056957e-11,5.07543627939485e-10,"PUS3","pseudouridine synthase 3"
"ENSG00000266642",-1.09007443077131,-7.22247680417556,6.1550105046366e-11,5.29443323681937e-10,NA,NA
"ENSG00000181963",-1.27842875607268,-7.22061960194538,6.2129525070036e-11,5.34183474792031e-10,"OR52K2","olfactory receptor family 52 subfamily K member 2"
"ENSG00000259704",-1.03125186057355,-7.2172189765491,6.32045116892864e-11,5.4243580464819e-10,"LOC105370969","uncharacterized LOC105370969"
"ENSG00000234484",-1.41381567185604,-7.2129382335693,6.45839479971871e-11,5.53769873632685e-10,NA,NA
"ENSG00000225873",-1.38495138888022,-7.21115462845849,6.51674654086065e-11,5.57735056485624e-10,NA,NA
"ENSG00000196664",-1.15237410798739,-7.20438304866596,6.74307761315402e-11,5.75560018471207e-10,"TLR7","toll like receptor 7"
"ENSG00000143344",-1.16594432936078,-7.19972866625608,6.90314255529879e-11,5.87890594288963e-10,"RGL1","ral guanine nucleotide dissociation stimulator like 1"
"ENSG00000214796",1.33979998554844,7.19723368045779,6.99048926420756e-11,5.9452296505256e-10,NA,NA
"ENSG00000286256",-1.33350663532462,-7.19626209564018,7.02479878863849e-11,5.9717129774536e-10,NA,NA
"ENSG00000171566",-1.04396428152973,-7.19481495278277,7.07621116403771e-11,6.00728552988474e-10,"PLRG1","pleiotropic regulator 1"
"ENSG00000111676",1.10620966542266,7.19386081406473,7.11031238701022e-11,6.03351643002246e-10,"ATN1","atrophin 1"
"ENSG00000127311",-1.16368505260037,-7.18668617884883,7.37200424010465e-11,6.24713521705314e-10,"HELB","DNA helicase B"
"ENSG00000095794",-1.01097655305303,-7.17976263911723,7.63357617547813e-11,6.45138214417483e-10,"CREM","cAMP responsive element modulator"
"ENSG00000159164",1.04709606180676,7.1740699424791,7.85551736101044e-11,6.63597471061501e-10,"SV2A","synaptic vesicle glycoprotein 2A"
"ENSG00000179388",1.01788096204238,7.17356979850023,7.8753192214814e-11,6.64674119597969e-10,"EGR3","early growth response 3"
"ENSG00000228166",-1.16868661909092,-7.17132936556134,7.96463168774769e-11,6.71911024334039e-10,"MTND1P11","MT-ND1 pseudogene 11"
"ENSG00000131747",1.08044046048331,7.16609304032822,8.17730366054367e-11,6.88311199094377e-10,"TOP2A","DNA topoisomerase II alpha"
"ENSG00000285851",-1.13203715125443,-7.16293054309532,8.30846197447284e-11,6.98415023092902e-10,NA,NA
"ENSG00000183684",1.28406314003783,7.15892148811524,8.47772820428258e-11,7.11057185718055e-10,"ALYREF","Aly/REF export factor"
"ENSG00000235880",-1.24171078382221,-7.15769429598166,8.53022095368644e-11,7.15141532378928e-10,NA,NA
"ENSG00000271787",1.42206338902052,7.14797324188341,8.95757066357067e-11,7.48636717659025e-10,NA,NA
"ENSG00000179978",-1.59905531100048,-7.14632629497448,9.03204407891718e-11,7.54526147931893e-10,NA,NA
