"PC","Variance_Explained_Percent"
"PC339",0.0431281157748371
"PC340",0.0429387447987817
"PC341",0.0427377444638196
"PC342",0.042631494030264
"PC343",0.042490922972587
"PC344",0.0423088279563304
"PC345",0.0421594171821611
"PC346",0.042024729095705
"PC347",0.0418326125329434
"PC348",0.0417699687568242
"PC349",0.0415450670214965
"PC350",0.0413405624657889
"PC351",0.0412531237299256
"PC352",0.0410338253688119
"PC353",0.0408239572863837
"PC354",0.0407294290813729
"PC355",0.0406205332569259
"PC356",0.0404433517332927
"PC357",0.0402637355860515
"PC358",0.0401379364679586
"PC359",0.0400748983605259
"PC360",0.0398769736608335
"PC361",0.039816074203572
"PC362",0.0395444474379848
"PC363",0.0393551074584345
"PC364",0.0392309619445372
"PC365",0.0389618539754674
"PC366",0.038707061982471
"PC367",0.0386029210816847
"PC368",0.0385717778375314
"PC369",0.0384229538584564
"PC370",0.0383266277621549
"PC371",0.0382372788793778
"PC372",0.0380902709124579
"PC373",0.0379502389251639
"PC374",0.0378853982670624
"PC375",0.0376363574599565
"PC376",0.0374907411893958
"PC377",0.0373703218334825
"PC378",0.0372553048356376
"PC379",0.0370301071507844
"PC380",0.0369476030752567
"PC381",0.0368275947838335
"PC382",0.0366867656486327
"PC383",0.0365806341352965
"PC384",0.0363213450247274
"PC385",0.036201375491978
"PC386",0.0359959425431708
"PC387",0.0359571498866693
"PC388",0.0358246480933958
"PC389",0.0357844621063598
"PC390",0.0356056748828885
"PC391",0.0353286690910911
"PC392",0.035108018949174
"PC393",0.0350610451855777
"PC394",0.0348400034585727
"PC395",0.0347394664570136
"PC396",0.0346147236738912
"PC397",0.0344903670762036
"PC398",0.034325077778298
"PC399",0.0342722520710572
"PC400",0.0340097923510674
"PC401",0.0339376635239076
"PC402",0.0337448551772736
"PC403",0.0337097746364126
"PC404",0.0336771573924713
"PC405",0.0334459483325443
"PC406",0.0333444133704329
"PC407",0.0332549932604359
"PC408",0.033193098827048
"PC409",0.0329244867246655
"PC410",0.0328470981411812
"PC411",0.0326207805295487
