"Gene","logFC","t","PValue","FDR"
"ENSG00000165495",1.01672035925183,5.28391258057435,6.14596699512808e-07,2.52239055020093e-06
"ENSG00000107338",1.04969186977382,5.28325594494593,6.16368813638867e-07,2.52911254875386e-06
"ENSG00000143921",1.01849432107655,5.27189344725829,6.47835644747957e-07,2.64842184803863e-06
"ENSG00000140015",1.23274848740009,5.27116123199411,6.49916344736287e-07,2.6561318586655e-06
"ENSG00000128655",1.20935265219928,5.26495768420973,6.67808434096064e-07,2.72180339279568e-06
"ENSG00000226476",1.11728881917694,5.26249020580687,6.75057950101362e-07,2.75075528098842e-06
"ENSG00000245384",1.06160676961386,5.25769026424933,6.8938104230069e-07,2.80608471799058e-06
"ENSG00000140937",1.08637413691711,5.24919044067736,7.15475798959879e-07,2.90351854821331e-06
"ENSG00000238099",1.03237060419047,5.24670853827247,7.23275500482727e-07,2.93390695049389e-06
"ENSG00000113327",1.01657005852037,5.24311803853158,7.34706171356621e-07,2.97642900129377e-06
"ENSG00000233821",1.02566599271081,5.24096715350364,7.4163794700384e-07,3.00262004863583e-06
"ENSG00000286757",1.00550089930913,5.23684306050925,7.55107853632351e-07,3.0538260512508e-06
"ENSG00000120664",1.03227987061425,5.23078563664197,7.75326152065363e-07,3.12820605110458e-06
"ENSG00000225756",1.02206150763979,5.23033994293613,7.76834465526269e-07,3.1329496171235e-06
"ENSG00000224819",1.1353493687266,5.22927455619388,7.8045155196619e-07,3.14619009970877e-06
"ENSG00000136531",1.1441860926333,5.22616137069748,7.91115537809989e-07,3.18645167869672e-06
"ENSG00000270112",1.04297744647374,5.2174294106546,8.21790572630566e-07,3.29903687917998e-06
"ENSG00000177181",1.10967064478407,5.21589921617424,8.27284288608185e-07,3.31653148091104e-06
"ENSG00000171561",1.00500285404548,5.1945498820397,9.07773875899518e-07,3.60544892983241e-06
"ENSG00000123243",1.11465492604236,5.18648107005249,9.40142133733232e-07,3.71832826270557e-06
"ENSG00000002746",1.06066119548421,5.18556722390836,9.43878257515729e-07,3.72997243865771e-06
"ENSG00000174963",1.03539385196631,5.18384237766033,9.50969534145293e-07,3.75484470430288e-06
"ENSG00000248801",1.06236253557229,5.18228487166909,9.57417456988149e-07,3.77792837342747e-06
"ENSG00000183454",1.14453451645999,5.18006294825174,9.66689859329274e-07,3.81291950796584e-06
"ENSG00000159263",1.05761923277623,5.1776305259684,9.76941124930957e-07,3.85093469584628e-06
"ENSG00000237975",1.12863055468887,5.17611922500717,9.83363707751697e-07,3.87300972749874e-06
"ENSG00000158856",1.10514921888541,5.17185266849876,1.00171832454715e-06,3.93871212644941e-06
"ENSG00000074211",1.03176522284063,5.16845918630984,1.01655512872977e-06,3.99183518149619e-06
"ENSG00000158258",1.12599175324154,5.16773495760735,1.01974919756953e-06,4.00125710973021e-06
"ENSG00000162409",1.06729633431031,5.16636451927722,1.02582004825943e-06,4.02256412762515e-06
"ENSG00000259828",1.06911792784175,5.16255453363557,1.04288352247008e-06,4.08437417802314e-06
"ENSG00000233123",1.00384048675042,5.16086440860605,1.05054126782105e-06,4.11265511288716e-06
"ENSG00000081277",1.00286193095424,5.15092766163467,1.09668454740556e-06,4.27906866280569e-06
"ENSG00000285634",1.09913145128303,5.14952151681555,1.10337181673592e-06,4.29981760109046e-06
"ENSG00000120457",1.07587082954662,5.13815498142619,1.15890746179072e-06,4.49763056555698e-06
"ENSG00000223609",1.44987832160964,5.13665717110452,1.16642578470855e-06,4.5249441788179e-06
"ENSG00000108688",1.14360468214356,5.12871625780198,1.20708660513291e-06,4.66443024974231e-06
"ENSG00000277693",1.04511152262661,5.12471384271929,1.2281009937674e-06,4.74174349673913e-06
"ENSG00000156687",1.02020996345427,5.11731443378011,1.26789388251152e-06,4.88337455709509e-06
"ENSG00000279442",1.03806497529482,5.11539928749921,1.27839623979345e-06,4.91779219220525e-06
"ENSG00000267075",1.03259462462565,5.11485120344977,1.28141741502643e-06,4.92639617638119e-06
"ENSG00000198478",1.04804058020669,5.11166270867683,1.2991316474314e-06,4.98635737047937e-06
"ENSG00000281392",1.01575891678909,5.10947738397513,1.31141017446726e-06,5.02938616991334e-06
"ENSG00000262619",1.03140469707083,5.1081476650367,1.31893662847628e-06,5.05516341958008e-06
"ENSG00000286746",1.00061802176278,5.10079950290515,1.36129365763691e-06,5.20480006546865e-06
"ENSG00000260918",1.05743229135907,5.09984055273095,1.36691817200607e-06,5.22524442456377e-06
"ENSG00000231533",1.07327610986778,5.09834370060539,1.37574291520829e-06,5.25258310431573e-06
"ENSG00000234352",1.01709791736767,5.08959032739929,1.42847092756348e-06,5.43297705096726e-06
"ENSG00000168631",1.15109085500156,5.08903901033559,1.43185702128437e-06,5.44365743026338e-06
"ENSG00000019485",1.02800483340118,5.08778214449466,1.4396057305483e-06,5.4720122582867e-06
"ENSG00000152822",1.01870620357829,5.08483066548389,1.45796284359384e-06,5.5362031944408e-06
"ENSG00000197428",1.12385630545018,5.08404071416113,1.46291460475391e-06,5.55388660305402e-06
"ENSG00000260139",1.03688402731602,5.08257134865004,1.47216884379295e-06,5.58676806594913e-06
"ENSG00000251372",1.06467304450001,5.082238813235,1.47427109075828e-06,5.59249271198237e-06
"ENSG00000155875",1.04144945482475,5.08100600161384,1.48209031557419e-06,5.617629248448e-06
"ENSG00000172260",1.08931495204609,5.07831139007862,1.49932204434382e-06,5.67495050660013e-06
"ENSG00000141639",1.0172101648464,5.07643626757787,1.51142821800595e-06,5.71474309307636e-06
"ENSG00000232044",1.07617094436537,5.06784037427259,1.56815456133701e-06,5.90936099749284e-06
"ENSG00000228793",1.06126359891859,5.06479549634703,1.5887415264974e-06,5.97976281241918e-06
"ENSG00000151338",1.12964301772824,5.06003415900678,1.6214624008407e-06,6.08953522867566e-06
"ENSG00000242808",1.02162037194287,5.05790966075527,1.6362732456221e-06,6.13537328842139e-06
"ENSG00000172058",1.00449509619299,5.05678409474125,1.64417337954626e-06,6.1576417741337e-06
"ENSG00000285347",1.01161417386819,5.05058295528291,1.6883684798256e-06,6.3118645411698e-06
"ENSG00000215475",1.05195388936431,5.0480235475031,1.70694452635441e-06,6.37695766314091e-06
"ENSG00000036530",1.04704269407139,5.04361375698922,1.73941837809814e-06,6.48312956468234e-06
"ENSG00000236666",1.0170052997509,5.04357764157491,1.7396868005876e-06,6.48312956468234e-06
"ENSG00000256988",1.04087283118175,5.04060093496892,1.76194992510945e-06,6.55960725083237e-06
"ENSG00000176495",1.07406722171657,5.03989563050253,1.76726548441946e-06,6.57679715438438e-06
"ENSG00000236333",1.16347666802603,5.0383456853644,1.77900162507929e-06,6.61655135503331e-06
"ENSG00000163600",1.05451946386692,5.03257023452224,1.82340497240233e-06,6.77501042803058e-06
"ENSG00000288091",1.1278995632288,5.03023873329984,1.84163428481477e-06,6.83600131179127e-06
"ENSG00000244734",1.60386856803821,5.02675066158625,1.86923813141404e-06,6.927544347743e-06
"ENSG00000250986",1.0826281429172,5.02399967904754,1.89129248161232e-06,6.99826512838595e-06
"ENSG00000274461",1.02519302374694,5.02200799045046,1.90741749709046e-06,7.04824064538842e-06
"ENSG00000287933",1.13029499701644,5.01608607638857,1.95615663364732e-06,7.21136568779807e-06
"ENSG00000248115",1.0015051290748,5.01378851089087,1.97539082776135e-06,7.27942339854622e-06
"ENSG00000171056",1.01031869521771,5.01102346818771,1.99878265726791e-06,7.35986467897048e-06
"ENSG00000112246",1.04071914164227,5.00671171606369,2.03579827056059e-06,7.48738145662248e-06
"ENSG00000164742",1.04591562346731,5.00069028353047,2.08860943577442e-06,7.65620248124508e-06
"ENSG00000226674",1.03345057231004,4.99327464091759,2.15548246174118e-06,7.88416261209648e-06
"ENSG00000166473",1.03895939853888,4.986580026292,2.21763929652672e-06,8.08983134546287e-06
"ENSG00000285769",1.01427278850749,4.98277614063428,2.25373012185836e-06,8.21194739566107e-06
"ENSG00000185942",1.08364739795415,4.97977807075411,2.28257748502051e-06,8.30581314715403e-06
"ENSG00000279652",1.04582755013941,4.97905630545021,2.28957575726495e-06,8.32806103791412e-06
"ENSG00000258916",1.10249656857251,4.97846553336788,2.29531944199239e-06,8.34573010002945e-06
