"Gene","Variance"
"ENSG00000236333",3.17035807766859
"ENSG00000239906",3.16976181520783
"ENSG00000211891",3.1682424573346
"ENSG00000123700",3.16794610266647
"ENSG00000143443",3.16708950314262
"ENSG00000118785",3.16694234659451
"ENSG00000188738",3.16184178175119
"ENSG00000099998",3.16016007082139
"ENSG00000128573",3.15982236617433
"ENSG00000167618",3.15941853947617
"ENSG00000204933",3.15699695387171
"ENSG00000135114",3.15671826353601
"ENSG00000137801",3.15405385515677
"ENSG00000230304",3.15275315757223
"ENSG00000256977",3.15249497477106
"ENSG00000089169",3.15156888078976
"ENSG00000053108",3.15062300373759
"ENSG00000277349",3.15029247022741
"ENSG00000169429",3.14981754133521
"ENSG00000115884",3.14723257626413
"ENSG00000163016",3.14500524115808
"ENSG00000162366",3.14297920427805
"ENSG00000205236",3.14288837109944
"ENSG00000286653",3.14243175803338
"ENSG00000214929",3.13897068295384
"ENSG00000160180",3.13842865457458
"ENSG00000120217",3.13662151909784
"ENSG00000114279",3.13271037993371
"ENSG00000248385",3.13194827111468
"ENSG00000158258",3.13099632713871
"ENSG00000108387",3.12928876069425
"ENSG00000146122",3.12575732919341
"ENSG00000273590",3.12545745473117
"ENSG00000285841",3.12509911619859
"ENSG00000182263",3.12307854683828
"ENSG00000275060",3.11860548946788
"ENSG00000185775",3.11656310629104
"ENSG00000286001",3.11427565251658
"ENSG00000261684",3.11118280397897
"ENSG00000204424",3.10982989577849
"ENSG00000225769",3.1074418260237
"ENSG00000272681",3.10264177407739
"ENSG00000232771",3.09898914728702
"ENSG00000237870",3.09455368976098
"ENSG00000259235",3.09245060375481
"ENSG00000259726",3.09167338409955
"ENSG00000145335",3.08914447520031
"ENSG00000286279",3.08784071294217
"ENSG00000172322",3.08662749631302
"ENSG00000288587",3.08559813198888
"ENSG00000196090",3.0847426068694
"ENSG00000164120",3.08462506312616
"ENSG00000184613",3.08312880233911
"ENSG00000204010",3.08262246938466
"ENSG00000158163",3.08081877031438
"ENSG00000170160",3.07931094520649
"ENSG00000162747",3.07673800982298
"ENSG00000121742",3.07578158014579
"ENSG00000215354",3.07372202584357
"ENSG00000250151",3.07353465820262
"ENSG00000133106",3.07161371294054
"ENSG00000279565",3.07158350045133
"ENSG00000165323",3.07136860985432
"ENSG00000239819",3.07096915411988
"ENSG00000134463",3.07062503462435
"ENSG00000224745",3.06823218435498
"ENSG00000130300",3.06781764861535
"ENSG00000003137",3.06435672870461
"ENSG00000279423",3.06271930760712
"ENSG00000284690",3.0592842474756
"ENSG00000133328",3.05875321385374
"ENSG00000274750",3.05866303970611
"ENSG00000267283",3.05820606969696
"ENSG00000117691",3.05818570870431
"ENSG00000275993",3.05642766144721
"ENSG00000287176",3.05637439363959
"ENSG00000262202",3.05522181776958
"ENSG00000167774",3.05343670551564
"ENSG00000263917",3.05087161745995
"ENSG00000005961",3.04857406888667
"ENSG00000220008",3.04754306778794
"ENSG00000198300",3.04673763896998
"ENSG00000152969",3.04556760047161
"ENSG00000287299",3.04479401345616
"ENSG00000180658",3.0441216682227
"ENSG00000154096",3.04326479656628
"ENSG00000205810",3.03940648135391
"ENSG00000288091",3.03888435672311
"ENSG00000197705",3.03859587467791
"ENSG00000247317",3.03701829793548
"ENSG00000164047",3.03586758063594
"ENSG00000287671",3.03576395972161
"ENSG00000185507",3.03260658216761
"ENSG00000242593",3.03229664747025
"ENSG00000158856",3.03029765688769
"ENSG00000173372",3.02968691240105
"ENSG00000188984",3.0280490496558
"ENSG00000261279",3.02660134778748
"ENSG00000122025",3.0265068578322
"ENSG00000204072",3.02593471605355
"ENSG00000257379",3.02522498059328
"ENSG00000165762",3.02368085717708
"ENSG00000285444",3.02346981758276
"ENSG00000279712",3.02325909970472
"ENSG00000251380",3.02239890531754
"ENSG00000260755",3.02205463116088
"ENSG00000204778",3.02188189629163
"ENSG00000101448",3.02136140975836
"ENSG00000196119",3.02088457775889
"ENSG00000132465",3.02066378108948
"ENSG00000153823",3.0202640067955
"ENSG00000276006",3.01971510979604
"ENSG00000234929",3.01774044769139
"ENSG00000165370",3.0175050691605
"ENSG00000278621",3.0170895551218
"ENSG00000154146",3.01610652171677
"ENSG00000169876",3.01525659894565
"ENSG00000274279",3.01479245307535
"ENSG00000144285",3.01442103033319
"ENSG00000139364",3.01413807041144
"ENSG00000231764",3.01288891187032
