Factor,GO_ID,P_value,FDR
Factor1,GO:0030182,0.837523802693869,0.954387589116269
Factor1,GO:0055085,0.864244004950883,0.973516235461914
Factor1,GO:0010468,0.883267323848104,0.974317037107857
Factor1,GO:0035725,0.888306282020429,0.974317037107857
Factor1,GO:0071456,0.894780952445991,0.974317037107857
Factor1,GO:0030335,0.914179069053753,0.984500535904042
Factor1,GO:0001822,0.948610260603514,0.991596539483731
Factor1,GO:0006629,0.991060054705366,0.991596539483731
Factor1,GO:0007169,0.963278181762348,0.991596539483731
Factor1,GO:0007189,0.958630446745081,0.991596539483731
Factor1,GO:0010629,0.991596539483731,0.991596539483731
Factor1,GO:0016064,0.985827569073893,0.991596539483731
Factor1,GO:0070374,0.970747217830154,0.991596539483731
Factor10,GO:0050829,5.13687332566425e-20,5.03413585915096e-18
Factor10,GO:0042742,1.87784313415295e-14,9.20143135734945e-13
Factor10,GO:0019731,8.70978661944201e-12,2.84519696235106e-10
Factor10,GO:0002376,2.01145810040895e-10,4.92807234600192e-09
Factor10,GO:0006955,6.16078820735223e-10,1.20751448864104e-08
Factor10,GO:0061844,7.63580906249612e-10,1.24718214687437e-08
Factor10,GO:0002250,1.46489226839418e-08,2.05084917575185e-07
Factor10,GO:0006952,4.79178339245588e-07,5.86993465575845e-06
Factor10,GO:0045087,6.00846998382884e-07,6.34502076095838e-06
Factor10,GO:0071222,6.47451098056977e-07,6.34502076095838e-06
Factor10,GO:0031640,6.47432624529176e-06,5.76803610944175e-05
Factor10,GO:0032760,2.37214504335978e-05,0.000193725178541049
Factor10,GO:0006508,0.000105583018274081,0.000795933522373843
Factor10,GO:0043066,0.00089350115338366,0.00625450807368562
Factor10,GO:0016064,0.00103381315208122,0.00675424592693062
Factor10,GO:0030198,0.0013247871698498,0.00811432141533005
Factor10,GO:0006935,0.00210430612152913,0.0121307058770503
Factor10,GO:0006869,0.00537561053122876,0.0278669301685152
Factor10,GO:0019221,0.00540277217552846,0.0278669301685152
Factor10,GO:0007155,0.00912682728030863,0.0447214536735123
Factor10,GO:0006954,0.0207335140341275,0.0967563988259282
Factor10,GO:0007186,0.0295434318600014,0.120635680095006
Factor10,GO:0007608,0.0289357238198862,0.120635680095006
Factor10,GO:0043123,0.0280016760633789,0.120635680095006
Factor10,GO:0050911,0.0316442217665557,0.124045349324898
Factor10,GO:0032496,0.0353973817760388,0.133420900540454
Factor10,GO:0071456,0.039490640255034,0.143336397962716
Factor10,GO:0050729,0.044848163260589,0.156968571412061
Factor10,GO:0007268,0.0580383318439153,0.196129535196679
Factor10,GO:0006811,0.0787796111741247,0.257346729835474
Factor10,GO:0008284,0.0882524969517292,0.278991764557079
Factor10,GO:0016055,0.116137786386252,0.355671970807897
Factor10,GO:0071345,0.127935654439318,0.379930125304642
Factor10,GO:0050821,0.133846213865868,0.38579202820162
Factor10,GO:0007565,0.155544361096942,0.435524211071437
Factor10,GO:0007411,0.187872610667857,0.511430995706945
Factor10,GO:0050853,0.194701327696913,0.515695408494527
Factor10,GO:0009615,0.234316549092776,0.574075545277302
Factor10,GO:0045892,0.233603809090706,0.574075545277302
Factor10,GO:0071356,0.231670558143749,0.574075545277302
Factor10,GO:0006958,0.273372888794484,0.623035886089754
Factor10,GO:0007189,0.26937664435097,0.623035886089754
Factor10,GO:0042127,0.261866342670437,0.623035886089754
Factor10,GO:0007399,0.284044258286115,0.632644029819075
Factor10,GO:0006813,0.308113703568304,0.642449849993485
Factor10,GO:0007166,0.295460428735794,0.642449849993485
Factor10,GO:0048821,0.304151253042642,0.642449849993485
Factor10,GO:0007204,0.320334226116391,0.654015711654299
Factor10,GO:0006629,0.340551068614769,0.671949029953554
Factor10,GO:0006821,0.351157175660102,0.671949029953554
Factor10,GO:0060078,0.34676893666645,0.671949029953554
Factor10,GO:0071347,0.356544383240661,0.671949029953554
Factor10,GO:0007154,0.389009306545306,0.699254329088582
Factor10,GO:0010468,0.390475692066526,0.699254329088582
Factor10,GO:0051607,0.392438654080327,0.699254329088582
Factor10,GO:0030335,0.400883190734148,0.701545583784759
Factor10,GO:0043410,0.418943243272755,0.720288383170702
Factor10,GO:0001525,0.442643308589231,0.736768921372463
Factor10,GO:0007169,0.443564962867095,0.736768921372463
Factor10,GO:0007267,0.468885896675615,0.765846964570171
Factor10,GO:0006325,0.508314146227585,0.778356036410989
Factor10,GO:0006631,0.492247444994654,0.778356036410989
Factor10,GO:0010629,0.507167138201466,0.778356036410989
Factor10,GO:0045893,0.502270009256143,0.778356036410989
Factor10,GO:0000122,0.54515499988454,0.797390895353506
Factor10,GO:0008285,0.541965184194652,0.797390895353506
Factor10,GO:0045944,0.543676628954271,0.797390895353506
Factor10,GO:0071805,0.567627287729545,0.818051091139638
Factor10,GO:0007156,0.641944844379321,0.882429825534066
Factor10,GO:0010628,0.636412141502609,0.882429825534066
Factor10,GO:0030182,0.648315790188294,0.882429825534066
Factor10,GO:0140374,0.64042095540284,0.882429825534066
Factor10,GO:0007160,0.744554833159731,0.923624982907008
Factor10,GO:0007283,0.72289767428117,0.923624982907008
Factor10,GO:0009410,0.714108666164331,0.923624982907008
Factor10,GO:0016477,0.711706709868942,0.923624982907008
Factor10,GO:0019722,0.732833590437019,0.923624982907008
Factor10,GO:0045071,0.708488434282581,0.923624982907008
Factor10,GO:0051897,0.743225920640117,0.923624982907008
Factor10,GO:0043065,0.766694278190015,0.927605422995327
Factor10,GO:1902476,0.76354299779426,0.927605422995327
Factor10,GO:0006874,0.786399840764037,0.928520293914164
Factor10,GO:0035725,0.778651378966032,0.928520293914164
Factor10,GO:0001822,0.919534349707288,0.933390272898354
Factor10,GO:0005975,0.891881097700573,0.933390272898354
Factor10,GO:0006355,0.912830287209891,0.933390272898354
Factor10,GO:0006357,0.932645253587275,0.933390272898354
Factor10,GO:0006915,0.867678278168873,0.933390272898354
Factor10,GO:0007165,0.887856604668954,0.933390272898354
Factor10,GO:0007420,0.85185456287828,0.933390272898354
Factor10,GO:0030154,0.890763985404719,0.933390272898354
Factor10,GO:0034220,0.811351686519813,0.933390272898354
Factor10,GO:0035556,0.920205340355495,0.933390272898354
Factor10,GO:0055085,0.885121671458067,0.933390272898354
Factor10,GO:0070098,0.828649924776247,0.933390272898354
Factor10,GO:0070374,0.826962142783494,0.933390272898354
Factor10,GO:0090090,0.933390272898354,0.933390272898354
Factor10,GO:0098609,0.851105694715921,0.933390272898354
Factor11,GO:0042742,3.15914760910918e-27,3.09596465692699e-25
Factor11,GO:0050829,1.45909043531431e-24,7.14954313304013e-23
Factor11,GO:0045087,4.39258328293846e-09,1.43491053909323e-07
Factor11,GO:0019731,1.28055504178665e-08,3.1373598523773e-07
Factor11,GO:0061844,3.78631074342497e-08,7.42116905711295e-07
Factor11,GO:0006508,3.18634838112081e-07,4.46088773356913e-06
Factor11,GO:0032760,2.83379739644736e-07,4.46088773356913e-06
Factor11,GO:0002250,3.81666455870446e-07,4.67541408441296e-06
Factor11,GO:0006952,4.86755650859528e-07,5.3002281982482e-06
Factor11,GO:0051607,1.16788386351126e-06,1.14452618624104e-05
Factor11,GO:0031640,3.04696154095505e-06,2.71456573648723e-05
Factor11,GO:0016064,9.53637674776009e-06,7.78804101067074e-05
Factor11,GO:0071222,3.11880148231477e-05,0.000235109650205267
Factor11,GO:0071347,5.51158015478088e-05,0.000385810610834661
Factor11,GO:0032496,0.000135186660675763,0.000883219516414987
Factor11,GO:0010628,0.000157503968078731,0.000964711804482226
Factor11,GO:0071456,0.000249834224393348,0.00144022082297342
Factor11,GO:0071356,0.000795232288999041,0.00432959801788367
Factor11,GO:0043066,0.00105948049698479,0.00546468887918472
Factor11,GO:0010629,0.00319944687339616,0.0156772896796412
Factor11,GO:0006355,0.00453262994499393,0.0211522730766384
Factor11,GO:0006357,0.00542495657198952,0.0241657156388624
Factor11,GO:0006935,0.00607994527546488,0.0259058537824156
Factor11,GO:0006955,0.00684516642754773,0.0279510962458199
Factor11,GO:0045071,0.0101017368392711,0.0395988084099426
Factor11,GO:0009615,0.0127238158612557,0.0479589982462716
Factor11,GO:0009410,0.0132596419971642,0.0481275894711884
Factor11,GO:0008284,0.0151450080077914,0.0530075280272698
Factor11,GO:0000122,0.0192671195172723,0.0651095762997477
Factor11,GO:0002376,0.0236921730148434,0.0773944318484886
Factor11,GO:0045944,0.0245180719381981,0.0775087435465618
Factor11,GO:0007166,0.0345393266213172,0.105776687777784
Factor11,GO:0019221,0.0383167273572291,0.113789069121468
Factor11,GO:0006811,0.0428435045397652,0.1234901013205
Factor11,GO:0050729,0.0530692171466661,0.148593808010665
Factor11,GO:0007420,0.0579198215044416,0.157670625206536
Factor11,GO:0006325,0.0662866177217951,0.175017578669905
Factor11,GO:0007155,0.0678639590760856,0.175017578669905
Factor11,GO:0010468,0.074805725412855,0.187973361293841
Factor11,GO:0007186,0.0795228746666997,0.194831042933414
Factor11,GO:0006958,0.0830936231769158,0.197957422157777
Factor11,GO:0048821,0.084838895210476,0.197957422157777
Factor11,GO:0007189,0.0945561451251708,0.215500051680622
Factor11,GO:0140374,0.117054218298577,0.260711668028648
Factor11,GO:0045893,0.124613603628819,0.27138073679165
Factor11,GO:0007608,0.136015840935078,0.289772878513861
Factor11,GO:0006821,0.147746195302685,0.29549239060537
Factor11,GO:0050911,0.147674325182187,0.29549239060537
