"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant","Assay","UniProt","Panel","ENTREZID"
"OID20416",0.537108528793608,3.02330939947781,6.50905375561369,2.35822878633502e-10,2.73976336233556e-09,12.8249760401985,"Up",TRUE,"GGH","Q92820","CARDIOMETABOLIC","8836"
"OID20081",-0.451770836485917,2.3188911227154,-6.50401571494271,2.42967068465351e-10,2.79999952287892e-09,12.7958615843307,"Down",FALSE,"EDIL3","O43854","CARDIOMETABOLIC","10085"
"OID20581",-0.537908860865909,1.75866736292428,-6.49608786168923,2.54999019062455e-10,2.91514878592199e-09,12.7488086076063,"Down",TRUE,"ITGA11","Q9UKX5","INFLAMMATION","22801"
"OID21483",-0.341633177805799,-0.00304621409921671,-6.45580036053237,3.24307537296776e-10,3.67805929204042e-09,12.514485669258,"Down",FALSE,"CD1C","P29017","ONCOLOGY","911"
"OID21349",-0.531352648171497,1.41919477806789,-6.43615013402933,3.64613341984885e-10,4.10261784012914e-09,12.4003589793536,"Down",TRUE,"DTX3","Q8N9I9","ONCOLOGY","196403"
"OID21274",-0.470051282051279,1.04742845953003,-6.39516013575305,4.64945490757856e-10,5.19068051791387e-09,12.16355936476,"Down",FALSE,"IGF1R","P08069","ONCOLOGY","3480"
"OID20660",0.638470546448084,3.8357592689295,6.39051310201438,4.77900978149261e-10,5.2939573470953e-09,12.1367904062941,"Up",TRUE,"CTSO","P43234","INFLAMMATION","1519"
"OID20533",0.850222433795707,4.4393046997389,6.38534772676743,4.92716799542325e-10,5.41609466573833e-09,12.1070540057546,"Up",TRUE,"TRIM21","P19474","INFLAMMATION","6737"
"OID20189",-0.433471946195878,3.0251864229765,-6.37382971084769,5.26920748450779e-10,5.74786068348216e-09,12.0416260350893,"Down",FALSE,"ADGRG2","Q8IZP9","CARDIOMETABOLIC","10149"
"OID21391",-1.27318466162253,4.15744595300261,-6.36688975594688,5.49429154853703e-10,5.94798683549956e-09,12.0009525678564,"Down",TRUE,"KLK4","Q9Y5K2","ONCOLOGY","9622"
"OID20113",0.665054010088269,3.29710835509138,6.35581925354662,5.86460838052263e-10,6.30114689907281e-09,11.9374354372732,"Up",TRUE,"CTSH","P09668","CARDIOMETABOLIC","1512"
"OID20363",-0.438369604875996,2.86633107049608,-6.34128502701485,6.38256183784641e-10,6.80647825841979e-09,11.8549646862187,"Down",FALSE,"AXL","P30530","CARDIOMETABOLIC","558"
