"Protein","t","UniProt","ENTREZID"
"OID21208",1.1444331067137,"P34130","4909"
"OID20710",1.1323105599912,"Q9HC38","51031"
"OID20872",1.12809393868112,"P49789","2272"
"OID20856",1.11028164162512,"Q07812","581"
"OID20068",1.108944741282,"P31483","7072"
"OID21320",1.0989484530488,"Q96EK5","26128"
"OID21000",1.09169225177846,"P23588","1975"
"OID21244",1.08728906057149,"P15121","231"
"OID20084",1.06953626762189,"O95684","11116"
"OID20993",1.06866822905087,"Q99426","1155"
"OID20065",1.06758827404491,"P52789","3099"
"OID20955",1.06076312176867,"O95630","10617"
"OID21428",1.05458837757485,"P98082","1601"
"OID20195",1.04690283854521,"P35754","2745"
"OID20331",1.03875746332918,"P23284","5479"
"OID20887",1.03791935324512,"P30519","3163"
"OID20478",1.03322428384396,"Q7Z739","253943"
"OID20052",1.00338760660103,"P17676","1051"
"OID20670",0.993187477127798,"Q9HBG7","4063"
"OID20483",0.984235106282008,"P30048","10935"
"OID20616",0.959117592587614,"P29965","959"
"OID20070",0.952036136610627,"O43186","1406"
"OID20552",0.947695777648508,"P52564","5608"
"OID20176",0.944181878780228,"P41236","5504"
"OID20958",0.928364066046356,"Q6P1N0","54862"
"OID20141",0.926649703971892,"P21980","7052"
"OID21390",0.926632174736336,"Q9Y336","27180"
"OID20502",0.923935467068079,"P78362","6733"
"OID20846",0.921894943294474,"Q9Y680","51661"
"OID21149",0.914630915488693,"P00918","760"
"OID20206",0.914007851631935,"Q07108","969"
"OID21459",0.907009653107209,"Q16775","3029"
"OID21371",0.905323499001141,"Q86SR1","55568"
"OID20717",0.899554109141699,"P29350","5777"
"OID20864",0.88578328514534,"O14523","9854"
"OID20184",0.879688160773285,"Q9NR28","56616"
"OID21015",0.858778307356953,"Q9H446","51389"
"OID21489",0.856473691909224,"P21741","4192"
"OID21433",0.856374851201919,"P09105","3049"
"OID21184",0.854760735449227,"P35813","5494"
"OID21506",0.844237704010687,"O95721","9342"
"OID21304",0.843592803385736,"O00233","5715"
"OID20182",0.841307661865957,"Q8WTU2","136853"
"OID20396",0.840732316045399,"P19320","7412"
"OID20924",0.838602772605371,"Q08629","6695"
"OID21141",0.820321566582142,"P30043","645"
"OID20406",0.817507490149114,"P27487","1803"
"OID20322",0.811725838588268,"P10451","6696"
"OID21270",0.807630286971744,"P51580","7172"
"OID21229",0.782542965558355,"Q9Y2Z0","10910"
"OID21245",0.780358866596207,"P40198","1084"
"OID21199",0.773244567073596,"P35070","685"
"OID20075",0.761235667389208,"P35218","763"
"OID20150",0.757088664536744,"Q53H82","51110"
"OID20466",0.756556596043748,"Q13574","8525"
"OID21442",0.754007576980776,"Q16595","2395"
"OID20939",0.751379991215488,"Q96NZ8","117166"
"OID20172",0.749209423362675,"Q96LA6","115350"
"OID20281",0.741624920906619,"Q86U17","256394"
"OID20650",0.730045866763874,"P15692","7422"
"OID21177",0.703446008202468,"P49788","5918"
"OID20458",0.702217884018373,"O95715","9547"
"OID20711",0.702011011697586,"Q99685","11343"
"OID20365",0.698787922486405,"Q9UBR2","1522"
"OID21456",0.697470186872584,"P16562","7180"
"OID21285",0.693334025440976,"Q9Y6A5","10460"
"OID20537",0.693257443034506,"Q96LC7","89790"
"OID21338",0.693025497598114,"Q9BS26","23071"
"OID20471",0.690366568527069,"Q14435","2591"
"OID21212",0.687599307431759,"O00221","4794"
"OID21243",0.686007448944075,"Q8TD06","155465"
"OID20594",0.67892810734735,"Q8NDB2","55024"
"OID20168",0.67853818580063,"Q16820","4225"
"OID20337",0.677574686987341,"P42785","5547"
"OID20786",0.672221595113785,"O00468","375790"
"OID21314",0.669665510568564,"O15357","3636"
"OID21220",0.667306463825041,"O60907","6907"
"OID21092",0.663755695172128,"Q9P232","5067"
"OID21144",0.659707255007854,"Q9Y279","11326"
"OID20950",0.65237608098863,"P08134","389"
"OID20844",0.650635577355708,"Q9HA65","79735"
"OID21061",0.649350716575774,"Q9P126","51266"
"OID21511",0.644021882616441,"P09486","6678"
"OID20351",0.635726737060173,"A1L4H1","284297"
"OID20515",0.633818946267241,"Q12778","2308"
"OID21166",0.630817157848491,"P54727","5887"
"OID20637",0.627316881942279,"P20273","933"
"OID20666",0.623028456171869,"P29460","3593"
"OID20968",0.62142666788427,"Q92765","2487"
"OID21355",0.619389403936441,"Q8NEZ2","137492"
"OID20921",0.614201474159141,"Q96IU4","84836"
"OID20992",0.607091435700084,"Q9BYC5","2530"
"OID20967",0.603617432234692,"O00220","8797"
"OID20449",0.593803355124264,"Q8N6P7","58985"
"OID21277",0.580589147070844,"P51692","6777"
"OID21301",0.579396893527812,"P17948","2321"
"OID21341",0.570505079825364,"Q9Y5K8","51382"
"OID21118",0.570018875750685,"P63313","9168"
"OID20213",0.569145176180427,"Q99523","6272"
"OID20382",0.562660766251419,"Q15485","2220"
"OID20057",0.561486661601633,"P55082","4238"
"OID21016",0.561254114420428,"Q9NP79","51534"
"OID20760",0.553287177612198,"Q9UII2","93974"
"OID20140",0.550785199883309,"Q13043","6789"
"OID21198",0.546456042015734,"P21810","633"
"OID20940",0.541578287798977,"Q9H5V8","64866"
"OID20775",0.526118878273546,"P54317","5408"
"OID21395",0.525819455033433,"Q9UJM8","54363"
"OID21374",0.523502433081778,"P80511","6283"
"OID20833",0.522085928803048,"P26440","3712"
"OID20310",0.517771093129484,"P10586","5792"
"OID21409",0.515130531993119,"Q9H156","84631"
"OID21521",0.514045717531086,"P12931","6714"
"OID20524",0.509953512867278,"Q9UN19","27071"
"OID20121",0.50585700820246,"Q9Y4X3","10850"
"OID21010",0.498424970697443,"Q08708","10871"
"OID20811",0.473686933226619,"P48047","539"
"OID21445",0.473663499786576,"P05089","383"
"OID20120",0.469777896343646,"Q96A56","94241"
"OID20588",0.468156757338593,"P16455","4255"
"OID20859",0.46530659342905,"Q9Y2V2","23589"
"OID20078",0.461405494897647,"O60635","10103"
"OID21448",0.453802001505721,"P80303","4925"
"OID20135",0.448275517804594,"Q9Y5X1","51429"
"OID20900",0.430950334023107,"O95256","8807"
"OID20977",0.423622010877497,"Q8WWN9","26034"
"OID20976",0.414548011663996,"P78423","6376"
"OID20551",0.410495306676811,"Q9HD26","57120"
"OID20685",0.405113641414643,"P47712","5321"
"OID21501",0.404128681831745,"Q6FI81","57019"
"OID20063",0.402942259497814,"Q9NRV9","50865"
"OID20441",0.402525971821697,"Q9UPV0","22897"
"OID20504",0.390424779797031,"O43736","9452"
"OID21516",0.389519719409959,"P01298","5539"
"OID21168",0.375322886403131,"P01242","2689"
"OID20488",0.368421590278499,"P01583","3552"
"OID21348",0.360696978215218,"P07947","7525"
"OID20707",0.35472390299135,"P55145","7873"
"OID20252",0.347711751900736,"P04054","5319"
"OID20163",0.343875763927957,"O75340","10016"
"OID21200",0.327391829189263,"P48643","22948"
"OID21475",0.326517396109888,"O14974","4659"
"OID21176",0.316782089806704,"Q9P0J1","54704"
"OID21465",0.314845657068733,"Q99075","1839"
"OID20403",0.314700596128499,"P03950","283"
"OID21240",0.312976196608523,"O00186","6814"
"OID20095",0.309378880438175,"O15354","2861"
