"Assay","Missing_N","Missing_Percent","Mean","SD","Median","Min","Max"
"OID20204",0,0,4.87827602040816,0.68348519631002,4.8121,2.9436,7.2863
"OID20409",0,0,7.57670803571429,1.23006356786768,7.3685,4.3092,11.4556
"OID20150",0,0,1.09495956632653,0.629798078050848,0.9754,-0.0956,4.1966
"OID20414",0,0,4.52084744897959,0.744419820386685,4.3977,2.7611,7.2091
"OID20346",0,0,1.8548193877551,0.722817117177954,1.7442,0.0519,5.5968
"OID20352",0,0,2.39721301020408,0.697338309934492,2.4785,0.1511,4.6104
"OID20129",0,0,1.63840599489796,0.913627725090157,1.6147,-1.1989,7.8122
"OID20227",0,0,2.20442423469388,1.23478792567966,2.0978,-1.0436,7.1879
"OID20412",0,0,3.70290140306122,1.40036225933859,3.6982,-0.2102,10.2929
"OID20112",0,0,2.9003137755102,1.59656334151283,2.7692,-0.7932,7.6731
"OID20403",0,0,7.12388660714286,0.589057101367072,7.0883,5.1037,10.6503
"OID20169",0,0,4.48603966836735,1.71105908098347,4.2357,1.3534,9.3883
"OID20228",0,0,4.92502895408163,0.838232424913993,4.8689,2.5551,7.7117
"OID20091",0,0,0.95091237244898,0.847885748699672,0.7243,-0.5324,5.404
"OID20416",0,0,3.16416288265306,0.681709074559682,3.1649,-0.0765,7.0456
"OID20233",0,0,5.50807869897959,1.21225551863885,5.2734,2.8022,10.4074
"OID20275",0,0,0.352777168367347,0.875293895953163,0.1201,-1.2857,6.1673
"OID20277",0,0,3.86938469387755,0.416354449578345,3.8754,2.2552,6.1895
"OID20382",0,0,5.38767168367347,0.776781906362941,5.4676,0.6882,7.9931
"OID20388",0,0,4.86462844387755,0.668047719381832,4.7702,3.4007,9.0248
"OID20162",0,0,3.98944221938776,1.1650804174814,3.7777,1.4425,9.1394
"OID20405",0,0,4.79664400510204,0.897676954136066,4.6921,2.6264,8.8739
"OID20153",0,0,3.1213875,1.14804722680074,3.0691,0.0506,7.7539
"OID20080",0,0,0.100888775510204,0.256255548639362,0.0922,-0.8058,2.2809
"OID20326",0,0,2.19942142857143,1.30489484421436,1.932,-0.3174,7.5291
"OID20370",0,0,1.33823265306122,0.477096468934036,1.3164,0.0101,3.7758
