"Patient_Timepoint","Median_Correlation","Mean_Correlation","PCA_Mahalanobis_Distance"
"208_D0",0.702076249569628,0.699444117298643,1.94539294382627
"50_D3",0.702138153412608,0.687118458113623,3.79808848965975
"100_D3",0.702308779113707,0.689100458340708,2.93911185383261
"133_D0",0.702397579697089,0.691752942154954,3.42359794408106
"62_D0",0.702426750071848,0.693482484358215,4.3161055742329
"353_D3",0.702450734941795,0.689094906200101,5.81675832485147
"35_D3",0.702712918199274,0.6903134558052,6.5203518160828
"218_D3",0.702824424133222,0.695206631058725,3.06007807394933
"154_D7",0.702911468883964,0.699847918435719,5.77729032374007
"4_D0",0.702930895338547,0.688792894301705,4.14708175502792
"139_D3",0.702940471156507,0.692422763575159,2.93659292291973
"8_D0",0.702977328556633,0.672248387532337,2.84610859942184
"36_D0",0.703029721686573,0.684150129503272,4.24028472239224
"285_D3",0.703056726824162,0.678635338394019,3.36674487727119
"311_D7",0.703067063552583,0.696144448188946,2.7917481339003
"156_D7",0.703818703141137,0.698143568019075,8.13120950227201
"218_D0",0.703819064888832,0.679143230329601,4.61645198804169
"75_D0",0.703822961716242,0.67832037637913,5.52432784751558
"6_D7",0.704220775013343,0.683955581021985,1.61616954158275
"45_D7",0.704390681977036,0.698253576087693,5.35214114418356
"139_D7",0.704680559232259,0.678336580568309,2.03733006690092
"197_D0",0.705106142802291,0.692791321686768,3.93827778601551
"93_D3",0.705145325559253,0.697740068010978,2.32390639890234
"100_D0",0.705251436975037,0.697958347063828,1.4687210447363
"353_DE",0.705353871299796,0.697222905670028,3.72350521194997
"324_D0",0.705515977224898,0.697229836081332,3.60893062528979
"193_D0",0.705735474277375,0.685746779578278,5.66694838908621
"132_D3",0.705799119987526,0.702514175344583,1.31845540272408
"197_D3",0.705819990760795,0.675265838580057,4.6749027717475
"347_D0",0.705867961516113,0.696667736347171,5.36750485931957
"206_D3",0.705948704083804,0.695524457236963,8.27321507748905
"61_D0",0.706156606600045,0.694177217675159,4.9535837477807
"353_D7",0.706195804848561,0.678562863155735,4.73446983257799
"355_D3",0.706377108658704,0.698457829727405,4.22772585740548
"29_D7",0.706545364055433,0.692590101089272,3.37970409230928
"384_D7",0.706594209305366,0.674150192187964,2.50012962201972
"36_D3",0.707083510943487,0.681980100580943,6.38040338610495
"312_D0",0.707169022996191,0.686555224029527,3.59298271538205
"299_D3",0.70718081482332,0.695566254237776,6.53058040399778
"263_D7",0.707193861531213,0.682609456887352,3.34302072648938
"307_D0",0.707251537579324,0.702606278712363,2.11231106518672
"42_D3",0.707465243058157,0.683263323532973,6.01035525936199
"274_D3",0.707572979477467,0.699563412800362,5.24867667703532
"315_D0",0.707651545398458,0.689454912193562,7.27800327604228
"97_D3",0.707753905158801,0.702331126273574,4.63479108997643
"313_D3",0.707935140549516,0.688134640012808,7.82005790239445
"121_D3",0.708043990082895,0.699600936584337,5.38197734371786
"70_D0",0.708228307930482,0.686530346541768,2.26221284479048
"96_D7",0.708502166148526,0.701320478561269,2.08580105186076
"6_D3",0.708570917277613,0.681622402214675,3.85697315672546
"324_D3",0.708592124248522,0.698960853749454,2.10856176194719
"158_D0",0.708602692274483,0.695011270658874,6.07860870714917
"319_D3",0.708972419819598,0.69764098269652,3.12040414253762
"102_D7",0.709188207501997,0.704183587040168,4.29906584788685
"378_D3",0.709364366534143,0.701538149794547,2.42259863864223
"91_D7",0.709417383774099,0.696869454114261,6.00773050080713
"148_D3",0.709425959262334,0.699639802884989,2.10785977827438
"49_D7",0.709460829965894,0.705944416313537,2.47534175302247
"229_D0",0.709546936781341,0.71166744592078,2.89273374949411
"331_D7",0.709565281527022,0.706583464954027,2.23888862027007
"234_D0",0.709567179085181,0.702012340169596,2.6842909002045
